date,adj_close,adj_open,adj_high,adj_low,adj_volume,scaled_adj_close,scaled_adj_open,scaled_adj_high,scaled_adj_low,scaled_adj_volume,change,next_change
2008-01-02,25.039655611834,25.608972355626,25.7362011539,24.745358694615,269794700.0,-1.0860468878224336,-1.0729293820463104,-1.0782638798604434,-1.0841569411966658,1.762671432344508,-2.2736604393350204,-0.2462422408033297
2008-01-03,25.051221866223,25.112908556295,25.367366152843,24.763350645886,210516600.0,-1.085771496218211,-1.0847433328285228,-1.0869955589017923,-1.0837257756583616,1.103515274954813,-0.2462422408033297,-6.331574562619921
2008-01-04,23.138934473983,24.603993363199,24.803189966557,22.989858306308,363958000.0,-1.1313029081145858,-1.0968633445118274,-1.100351681198495,-1.1262263787199667,2.809741412575539,-6.331574562619921,-2.032199954962857
2008-01-07,22.829215884245,23.293151199163,23.595158952642,21.876927606254,518048300.0,-1.1386772832940437,-1.1280815564233901,-1.1289502118565742,-1.1528970470180457,4.523183139605004,-2.032199954962857,-5.191240875910338
2008-01-08,22.008011822658,23.150500728371,23.44865306372,21.950180550715,380954000.0,-1.1582300871930933,-1.1314788324255272,-1.1324185442980952,-1.1511415873263666,2.9987322549101494,-5.191240875910338,4.515050167226187
2008-01-09,23.05540041451,22.01443751954,23.068251808275,21.628895706589,453470500.0,-1.1332918474783422,-1.15853461608221,-1.141424039058498,-1.1588409719389656,3.805095776806935,4.515050167226187,0.2471632400843061
2008-01-10,22.878051180552,22.821505047986,23.261022714751,22.542629803284,370743800.0,-1.1375145187429316,-1.139313991493515,-1.1368604437407146,-1.1369439221007187,2.8851976409771747,0.2471632400843061,-1.9167293995050172
2008-01-11,22.193071892874,22.618453026498,22.856203811151,21.847369400594,308071400.0,-1.1538238215257206,-1.144149753730798,-1.146443993908069,-1.1536053904024146,2.188297801771972,-1.9167293995050172,0.704776820670419
2008-01-14,22.975721773166,22.813794211727,23.057970693263,22.511786458248,275112600.0,-1.135188989640707,-1.1394976280341707,-1.1416674308087784,-1.137683063023526,1.8218050167438504,0.704776820670419,-5.134879318505305
2008-01-15,21.72399602045,22.839496999257,23.032267905733,21.161104973541,585819500.0,-1.1649924810298606,-1.1388855062319858,-1.1422759101844797,-1.1700512759349224,5.27678023151059,-5.134879318505305,-3.5016286644920966
2008-01-16,20.515965006535,21.234357918001,21.72014060232,20.138134029842,553461300.0,-1.19375560413644,-1.1771125127785993,-1.1733387823141848,-1.1945661165414807,4.916965953184408,-3.5016286644920966,-0.38535645471895474
2008-01-17,20.676607428598,20.756286069941,21.251064729896,20.359178002601,439464900.0,-1.1899307207446117,-1.1884979782992822,-1.1844435309207688,-1.1892689399280052,3.6493573594498145,-0.38535645471895474,-0.2169062964765644
2008-01-18,20.737008979294,20.781988857471,21.30118516558,20.512109588405,431085900.0,-1.1884925645892768,-1.1878858564970975,-1.1832569961381394,-1.1856040328524078,3.5561851855311453,-0.2169062964765644,4.870213312772115
2008-01-22,20.001909255932,19.027773608541,20.559659745336,18.763034896981,608688500.0,-1.2059952309903246,-1.2296631694963822,-1.2008116261272046,-1.227519482683445,5.531077217469063,4.870213312772115,2.072307869305659
2008-01-23,17.872690336938,17.502313168629,17.991951271078,16.210748095241,843242400.0,-1.2566917654190273,-1.2659925984561988,-1.2615987157600241,-1.2886833940460034,8.139252031182169,2.072307869305659,-3.237463126844079
2008-01-24,17.426489945415,17.990666131701,18.081911027433,16.96512490925,501466700.0,-1.2673157615281894,-1.2543622842146418,-1.2594690379450697,-1.2706052389755937,4.338800311218586,-3.237463126844079,-6.907160987616296
2008-01-25,16.708097033949,17.862152194051,17.875003587816,16.656691458889,388684800.0,-1.2844206400564524,-1.2574228932255656,-1.264367296919477,-1.2779966482036895,3.0846966232274244,-6.907160987616296,1.4229674640440129
2008-01-28,16.708097033949,16.470346249295,17.118056495054,16.250587415913,368711000.0,-1.2844206400564524,-1.2905692888140217,-1.2822870145339629,-1.287728670354032,2.8625934644475324,1.4229674640440129,0.2964877603787526
2008-01-29,16.904723358554,16.85460292287,17.065365780617,16.584723653804,274995700.0,-1.279738982784857,-1.2814180678713247,-1.2835343972541624,-1.27972131035693,1.8205051209172491,0.2964877603787526,0.612800726276759
2008-01-30,16.98697227865,16.882875989154,17.407212854768,16.706811894572,310762900.0,-1.277780642488247,-1.2807447338888978,-1.2754416215572877,-1.2767955442041399,2.218226541013182,0.612800726276759,4.366134751774339
2008-01-31,17.395646600379,16.636129228864,17.561429579948,16.629703531982,336418600.0,-1.2680501391394183,-1.2866211031899186,-1.2717907453030801,-1.2786433965111577,2.503510864011773,4.366134751774339,-1.861682242991311
