date,adj_close,adj_open,adj_high,adj_low,adj_volume,scaled_adj_close,scaled_adj_open,scaled_adj_high,scaled_adj_low,scaled_adj_volume,change,next_change
2008-01-02,25.039655611834,25.608972355626,25.7362011539,24.745358694615,269794700.0,-0.8198010848127433,-0.8132373513358093,-0.8176180377459616,-0.8216667673247953,-0.37886706225253763,-2.2736604393350204,-0.2462422408033297
2008-01-03,25.051221866223,25.112908556295,25.367366152843,24.763350645886,210516600.0,-0.8196620424399083,-0.8192539080362232,-0.8220441854854253,-0.8214484319284296,-0.5214025011476839,-0.2462422408033297,-6.331574562619921
2008-01-04,23.138934473983,24.603993363199,24.803189966557,22.989858306308,363958000.0,-0.8426503814144107,-0.8254263340812068,-0.8288144950938758,-0.8429700638560039,-0.15244942583512,-6.331574562619921,-2.032199954962857
2008-01-07,22.829215884245,23.293151199163,23.595158952642,21.876927606254,518048300.0,-0.8463736271757405,-0.8413250072273869,-0.8433112855994376,-0.8564756676598293,0.2180639431828606,-2.032199954962857,-5.191240875910338
2008-01-08,22.008011822658,23.150500728371,23.44865306372,21.950180550715,380954000.0,-0.8562456356466466,-0.8430551569521163,-0.8450694070011806,-0.8555867306889057,-0.11158218617221072,-5.191240875910338,4.515050167226187
2008-01-09,23.05540041451,22.01443751954,23.068251808275,21.628895706589,453470500.0,-0.8436545763292933,-0.8568340070121367,-0.8496343537986697,-0.8594855770525913,0.06278526411111263,4.515050167226187,0.2471632400843061
2008-01-10,22.878051180552,22.821505047986,23.261022714751,22.542629803284,370743800.0,-0.8457865593793512,-0.8470454121731124,-0.847321036164801,-0.8483972579942616,-0.13613282693510997,0.2471632400843061,-1.9167293995050172
2008-01-11,22.193071892874,22.618453026498,22.856203811151,21.847369400594,308071400.0,-0.8540209576813815,-0.8495081478173254,-0.85217900319593,-0.8568343615252934,-0.2868299316097228,-1.9167293995050172,0.704776820670419
2008-01-14,22.975721773166,22.813794211727,23.057970693263,22.511786458248,275112600.0,-0.8446124237865723,-0.847138933779854,-0.849757730739142,-0.8487715472451742,-0.36608005979293623,0.704776820670419,-5.134879318505305
2008-01-15,21.72399602045,22.839496999257,23.032267905733,21.161104973541,585819500.0,-0.8596598983572452,-0.8468271950907147,-0.850066173090323,-0.865162297358124,0.38102121975634606,-5.134879318505305,-3.5016286644920966
2008-01-16,20.515965006535,21.234357918001,21.72014060232,20.138134029842,553461300.0,-0.8741821017416749,-0.8662952762275588,-0.8658121551181852,-0.8775762241801208,0.30321524691212676,-3.5016286644920966,-0.38535645471895474
2008-01-17,20.676607428598,20.756286069941,21.251064729896,20.359178002601,439464900.0,-0.8722509576745984,-0.872093615845575,-0.8714412280272543,-0.8748938178819015,0.029108504178020134,-0.38535645471895474,-0.2169062964765644
