date,adj_close,adj_open,adj_high,adj_low,adj_volume,change
2008-01-02,-1.0860468878224336,-1.0729293820463104,-1.0782638798604434,-1.0841569411966658,1.762671432344508,-0.12978988174783862
2008-01-03,-1.085771496218211,-1.0847433328285228,-1.0869955589017923,-1.0837257756583616,1.103515274954813,-3.8264879482502807
2008-01-04,-1.1313029081145858,-1.0968633445118274,-1.100351681198495,-1.1262263787199667,2.809741412575539,-1.2147177180007935
2008-01-07,-1.1386772832940437,-1.1280815564233901,-1.1289502118565742,-1.1528970470180457,4.523183139605004,-3.1337617154176054
2008-01-08,-1.1582300871930933,-1.1314788324255272,-1.1324185442980952,-1.1511415873263666,2.9987322549101494,2.762584685161796
2008-01-09,-1.1332918474783422,-1.15853461608221,-1.141424039058498,-1.1588409719389656,3.805095776806935,0.16994248959035305
2008-01-10,-1.1375145187429316,-1.139313991493515,-1.1368604437407146,-1.1369439221007187,2.8851976409771747,-1.1445720371201258
2008-01-11,-1.1538238215257206,-1.144149753730798,-1.146443993908069,-1.1536053904024146,2.188297801771972,0.4479321126867214
2008-01-14,-1.135188989640707,-1.1394976280341707,-1.1416674308087784,-1.137683063023526,1.8218050167438504,-3.099523378172278
2008-01-15,-1.1649924810298606,-1.1388855062319858,-1.1422759101844797,-1.1700512759349224,5.27678023151059,-2.1073615346590016
2008-01-16,-1.19375560413644,-1.1771125127785993,-1.1733387823141848,-1.1945661165414807,4.916965953184408,-0.214298536067539
2008-01-17,-1.1899307207446117,-1.1884979782992822,-1.1844435309207688,-1.1892689399280052,3.6493573594498145,-0.11196897683472727
2008-01-18,-1.1884925645892768,-1.1878858564970975,-1.1832569961381394,-1.1856040328524078,3.5561851855311453,2.9783380481664024
2008-01-22,-1.2059952309903246,-1.2296631694963822,-1.2008116261272046,-1.227519482683445,5.531077217469063,1.2786754667099618
2008-01-23,-1.2566917654190273,-1.2659925984561988,-1.2615987157600241,-1.2886833940460034,8.139252031182169,-1.9468871052249672
